Datum,number-1,number-2,number-3,number-4,number-5,EZ-1,EZ-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
28.08.2020,22,41, 8,38,11, 4, 7,"50.058.416,00",1,"34.889.569,00",7,"585.793,80",9,"83.430,60",107,"2.339,10",1.128,"199,70",1.838,"95,30",4.209,"35,60",55.178,"15,20",45.224,"15,20",75.299,"14,20",281.033,"7,40",627.944,"7,40"
04.09.2020, 5,23,49,38,28, 3, 9,"43.185.044,00",Jackpot,"10.791.310,52",Jackpot,"1.835.364,37",8,"80.971,90",59,"3.659,70",829,"234,40",1.357,"111,30",2.573,"50,30",38.793,"17,20",37.462,"17,20",62.027,"14,90",203.155,"8,20",539.177,"7,60"
11.09.2020, 5, 2,45,43,24,10, 4,"46.193.570,00",1,"21.752.127,20",3,"1.266.197,00",3,"230.967,80",32,"7.217,70",778,"267,10",1.292,"125,10",2.079,"66,60",26.570,"26,90",33.274,"20,80",64.724,"15,30",145.915,"12,30",503.683,"8,70"
18.09.2020,40, 7,14,12,42, 7, 8,"42.151.482,00",Jackpot,"10.400.312,36",1,"1.791.437,90",7,"90.324,60",46,"4.581,60",890,"213,10",1.226,"120,30",1.981,"63,80",29.930,"21,80",40.096,"15,70",57.498,"15,70",153.761,"10,60",590.403,"6,80"
25.09.2020, 1, 7, 9,46,29, 9,10,"44.554.000,00",Jackpot,"20.981.201,50",2,"946.772,50",3,"222.770,00",38,"5.862,30",836,"239,80",1.648,"94,60",1.897,"70,40",26.494,"26,00",37.941,"17,60",74.725,"12,80",134.703,"12,80",507.179,"8,30"
02.10.2020,39,49,15,34,19, 7, 2,"49.201.984,00",Jackpot,"32.573.424,12",3,"697.028,10",3,"246.009,90",58,"4.241,50",882,"251,00",1.430,"120,40",2.880,"51,20",42.684,"17,90",40.801,"17,90",68.190,"15,50",232.766,"8,20",597.409,"7,80"
09.10.2020,23,17,29,11, 1, 8, 1,"52.517.786,00",Jackpot,"45.035.331,58",7,"318.857,90",11,"71.615,10",91,"2.885,50",1.569,"150,60",2.633,"69,80",3.081,"51,10",39.864,"20,40",51.181,"15,30",90.344,"12,40",191.914,"10,60",666.529,"7,50"
16.10.2020,11,35,50,44, 5, 4,10,"58.756.038,00",1,"58.807.427,70",1,"2.497.131,60",6,"146.890,00",51,"5.760,30",893,"296,00",1.670,"123,10",2.396,"73,50",35.078,"25,90",43.208,"20,30",80.901,"15,60",188.029,"12,10",643.114,"8,70"
23.10.2020,23,17,21,37,45, 9, 7,"42.624.778,00",Jackpot,"11.238.193,44",7,"258.793,20",8,"79.921,40",61,"3.493,80",1.047,"183,20",1.619,"92,10",2.461,"51,90",32.831,"20,10",42.032,"15,20",64.916,"14,10",162.291,"10,20",559.279,"7,20"
30.10.2020,39,33,19,11,24, 1, 4,"45.696.154,00",Jackpot,"22.074.456,42",2,"971.043,20",14,"48.960,10",61,"3.745,50",1.007,"204,20",1.841,"86,80",2.136,"64,10",30.368,"23,30",42.219,"16,20",78.077,"12,50",154.141,"11,50",578.413,"7,50"
06.11.2020,12, 5,50,47,26, 3, 2,"48.576.158,00",Jackpot,"33.604.381,34",1,"2.064.486,70",9,"80.960,20",52,"4.670,70",962,"227,20",1.514,"112,20",2.124,"68,60",30.877,"24,30",42.493,"17,10",66.639,"15,60",168.210,"11,20",619.110,"7,40"
13.11.2020,38,37, 5,17,21, 4, 1,"56.738.754,00",Jackpot,"46.809.703,32",Jackpot,"2.411.397,05",11,"77.371,00",61,"4.650,70",1.135,"224,90",2.088,"95,10",2.536,"67,10",36.192,"24,20",47.119,"18,00",89.262,"13,60",189.774,"11,60",677.644,"7,90"
20.11.2020,50,20,34,49,18, 7, 8,"59.892.288,00",1,"61.083.832,10",6,"826.136,50",7,"128.340,60",69,"4.340,00",907,"297,10",1.514,"138,40",2.567,"69,90",38.445,"24,10",45.047,"19,90",71.700,"17,90",208.252,"11,20",706.612,"8,00"
27.11.2020,25,22, 2,30, 1,10, 5,"42.032.666,00",1,"11.237.997,10",1,"1.786.388,30",6,"105.081,60",38,"5.530,60",596,"317,30",1.221,"120,40",1.924,"65,50",28.328,"22,90",31.367,"20,10",59.115,"15,20",147.939,"11,00",466.647,"8,60"
04.12.2020,40,41,27, 1,37, 7,10,"42.163.680,00",Jackpot,"10.132.504,60",1,"1.791.956,40",6,"105.409,20",26,"8.108,40",551,"344,30",935,"157,80",1.567,"80,70",23.017,"28,30",27.273,"23,10",47.616,"19,00",127.569,"12,80",435.004,"9,20"
11.12.2020,49,13,15, 4,41, 9, 1,"44.619.028,00",Jackpot,"20.736.356,64",2,"948.154,30",6,"111.547,50",38,"5.870,90",605,"331,80",1.218,"128,20",1.836,"72,90",28.685,"24,10",31.221,"21,40",59.004,"16,20",153.412,"11,30",485.533,"8,70"
18.12.2020, 4,17,28,50,27, 5, 8,"48.273.670,00",Jackpot,"32.151.292,00",1,"2.051.630,90",12,"60.342,00",69,"3.498,00",758,"286,50",1.413,"119,50",2.712,"53,40",41.473,"18,10",39.822,"18,10",68.516,"15,10",224.774,"8,30",589.332,"7,80"
25.12.2020, 7,26,42,10,19, 9, 1,"49.937.484,00",Jackpot,"44.071.230,42",6,"353.723,80",7,"107.008,80",62,"4.027,20",1.082,"207,60",2.326,"75,10",2.674,"56,00",35.605,"21,70",44.624,"16,70",92.893,"11,50",176.960,"11,00",595.596,"8,00"
01.01.2021,36,43,17,38,46, 6, 4,"59.476.648,00",Jackpot,"57.789.434,54",6,"421.292,90",3,"297.383,20",62,"4.796,50",929,"288,10",1.688,"123,30",3.417,"52,20",48.121,"19,30",45.422,"19,30",76.881,"16,60",254.184,"9,10",669.714,"8,40"
