week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
26.,26/06/,FR,27 ,14 ,28 ,35 ,47 ,1,8,"24,758,312.00  ",0  x   ,unbesetzt,1  x   ,"1,052,228.20  ",3  x   ,"123,791.50  ",22  x   ,"5,626.80  ",503  x   ,221.40  ,"1,070  x   ",80.90  ,"1,249  x   ",59.40  ,"17,687  x   ",21.60  ,"21,778  x   ",17.00  ,"41,989  x   ",12.60  ,"95,272  x   ",10.10  ,"288,882  x   ",8.10
27.,03/07/,FR,40 ,45 ,31 ,1 ,41 ,5,9,"25,626,196.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,4  x   ,"96,098.20  ",15  x   ,"8,542.00  ",326  x   ,353.70  ,546  x   ,164.20  ,856  x   ,89.80  ,"13,332  x   ",29.70  ,"15,369  x   ",25.00  ,"28,191  x   ",19.50  ,"81,596  x   ",12.20  ,"237,602  x   ",10.30
28.,10/07/,FR,35 ,47 ,12 ,36 ,39 ,3,6,"28,566,524.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"428,497.80  ",40  x   ,"3,570.80  ",518  x   ,248.10  ,837  x   ,119.40  ,"1,807  x   ",47.40  ,"26,922  x   ",17.20  ,"23,706  x   ",17.20  ,"38,264  x   ",16.00  ,"142,482  x   ",7.90  ,"340,164  x   ",7.90
29.,17/07/,FR,37 ,21 ,30 ,6 ,44 ,1,3,"31,088,578.00  ",0  x   ,unbesetzt,5  x   ,"724,891.00  ",7  x   ,"66,618.30  ",26  x   ,"5,978.50  ",596  x   ,234.70  ,987  x   ,110.20  ,"1,292  x   ",72.10  ,"19,586  x   ",24.60  ,"24,319  x   ",19.10  ,"41,910  x   ",15.90  ,"111,257  x   ",10.80  ,"354,718  x   ",8.30
30.,24/07/,FR,6 ,30 ,12 ,15 ,20 ,3,6,"34,395,818.00  ",1  x   ,"46,154,745.90  ",2  x   ,"730,911.10  ",9  x   ,"57,326.30  ",76  x   ,"2,262.80  ",852  x   ,181.60  ,"1,314  x   ",91.60  ,"2,795  x   ",36.90  ,"34,392  x   ",15.70  ,"32,388  x   ",15.70  ,"51,668  x   ",14.30  ,"169,329  x   ",7.90  ,"432,582  x   ",7.50
31.,31/07/,FR,24 ,11 ,49 ,19 ,46 ,1,5,"24,287,566.00  ",0  x   ,unbesetzt,4  x   ,"258,055.30  ",4  x   ,"91,078.30  ",26  x   ,"4,670.60  ",430  x   ,254.10  ,815  x   ,104.30  ,"1,241  x   ",58.70  ,"18,114  x   ",20.70  ,"19,236  x   ",18.90  ,"34,041  x   ",15.30  ,"95,567  x   ",9.90  ,"285,435  x   ",8.10
32.,07/08/,FR,15 ,49 ,1 ,22 ,9 ,4,7,"24,040,336.00  ",0  x   ,unbesetzt,3  x   ,"340,571.40  ",3  x   ,"120,201.60  ",34  x   ,"3,535.30  ",503  x   ,215.00  ,763  x   ,110.20  ,"1,872  x   ",38.50  ,"26,759  x   ",15.10  ,"21,654  x   ",15.10  ,"34,486  x   ",14.90  ,"140,990  x   ",7.20  ,"304,651  x   ",7.20
33.,14/08/,FR,28 ,41 ,1 ,7 ,27 ,2,6,"25,255,850.00  ",0  x   ,unbesetzt,3  x   ,"363,052.80  ",1  x   ,"363,052.80  ",26  x   ,"4,856.80  ",406  x   ,279.90  ,697  x   ,126.80  ,"1,341  x   ",56.50  ,"21,543  x   ",18.20  ,"20,580  x   ",18.20  ,"36,625  x   ",14.80  ,"115,476  x   ",8.50  ,"313,173  x   ",7.70
34.,21/08/,FR,13 ,20 ,39 ,40 ,42 ,3,9,"26,137,128.00  ",0  x   ,unbesetzt,2  x   ,"555,413.90  ",2  x   ,"196,028.40  ",23  x   ,"5,681.90  ",444  x   ,264.90  ,756  x   ,121.00  ,"1,369  x   ",57.20  ,"20,076  x   ",20.10  ,"19,613  x   ",19.90  ,"34,497  x   ",16.20  ,"106,243  x   ",9.50  ,"289,320  x   ",8.60
35.,28/08/,FR,8 ,5 ,34 ,46 ,33 ,8,3,"29,067,230.00  ",0  x   ,unbesetzt,5  x   ,"247,071.40  ",3  x   ,"145,336.10  ",34  x   ,"4,274.50  ",579  x   ,225.90  ,862  x   ,118.00  ,"2,004  x   ",43.50  ,"31,792  x   ",15.60  ,"26,149  x   ",15.60  ,"38,884  x   ",15.60  ,"161,872  x   ",7.10  ,"384,119  x   ",7.10
