id,year,numbers,Datum,number-1,number-2,number-3,number-4,number-5,euro-number-1,euro-number-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
aad016784cc534b6fda4cbcff054ed06,2020,1-17-29-39-42:7:8,13.03.2020,17,1,39,29,42,7,8,"58.758.288,00",Jackpot,"61.898.371,84",3,"832.409,00",8,"110.171,70",56,"5.246,20",1.147,"230,50",1.655,"124,20",2.683,"65,70",39.218,"23,20",50.742,"17,30",76.632,"16,40",211.044,"10,80",735.323,"7,60"
f6b624b6c64d35f697fd74a348c3f3c3,2020,9-14-28-30-37:3:10,20.03.2020,30,37,28,14,9,10,3,"55.177.444,00",Jackpot,"75.402.179,52",4,"586.260,30",13,"63.666,20",66,"4.180,10",1.088,"228,20",2.032,"95,00",2.507,"66,00",34.177,"25,00",47.165,"17,50",87.374,"13,50",177.960,"12,00",654.298,"8,00"
fa2b9952a85823bff7d4d8bdc4431e1d,2020,13-19-23-34-41:3:8,27.03.2020,41,13,34,23,19,3,8,"62.034.472,00",Jackpot,"89.940.529,06",4,"659.116,20",6,"155.086,10",107,"2.898,80",1.353,"206,30",2.116,"102,60",4.762,"39,00",65.740,"15,20",58.089,"15,20",93.156,"14,30",324.956,"7,40",808.906,"7,30"
b070370ed89b53b14d6658e066d18336,2020,3-21-26-40-41:8:10,03.04.2020,3,41,26,40,21,8,10,"72.470.288,00",Jackpot,"90.000.000,00",4,"4.958.270,70",7,"155.293,40",55,"6.588,20",1.039,"313,80",2.042,"124,20",2.692,"80,70",39.726,"28,20",49.769,"21,80",97.331,"16,00",216.282,"13,00",754.661,"9,10"
7fb11b524752194157f81bf1715eb8b6,2020,2-7-8-43-50:2:3,10.04.2020,43,50,2,8,7,3,2,"73.646.678,00",Jackpot,"90.000.000,00",4,"5.202.243,10",13,"84.976,90",63,"5.844,90",1.201,"275,90",1.879,"137,10",3.268,"67,60",48.898,"23,30",62.141,"17,70",92.802,"17,00",258.922,"11,00",949.349,"7,40"
43fb0ab7d6ed0a574186067bb5afb141,2020,1-18-23-33-41:2:6,17.04.2020,33,41,1,18,23,6,2,"78.786.378,00",Jackpot,"90.000.000,00",3,"7.331.310,90",11,"107.435,90",70,"5.627,50",1.263,"280,70",2.311,"119,30",3.862,"61,20",59.092,"20,60",60.856,"19,40",111.035,"15,20",316.970,"9,60",922.415,"8,10"
0eeccc50bb52e7e76b22f494689e65bd,2020,6-13-15-34-35:1:5,24.04.2020,35,13,34,6,15,5,1,"84.049.640,00",Jackpot,"90.000.000,00",6,"3.920.309,50",10,"126.074,40",85,"4.944,00",1.487,"254,30",2.670,"110,10",4.002,"63,00",57.704,"22,50",68.663,"18,30",124.872,"14,40",299.351,"10,90",995.257,"8,00"
ca3eb41cdb4ea979a07dfca7abba66c7,2020,6-11-12-21-41:1:2,01.05.2020,21,11,41,6,12,2,1,"86.636.616,00",1,"90.000.000,00",4,"6.104.297,30",10,"129.954,90",113,"3.833,40",1.590,"245,10",2.710,"111,80",4.790,"54,20",57.144,"23,40",74.721,"17,30",130.172,"14,30",280.683,"12,00",1.026.036,"8,00"
bc27e3f3114da51de0b37fbed5e6b0a7,2020,9-11-15-36-43:8:9,08.05.2020,11,15,36,9,43,9,8,"44.433.872,00",1,"13.286.943,40",4,"472.109,80",8,"83.313,50",46,"4.829,70",841,"237,70",1.444,"107,60",1.777,"75,00",25.727,"26,70",37.974,"17,50",62.773,"15,20",135.108,"12,80",546.864,"7,70"
cd6ba8431363b6b7723ab8328a6a3407,2020,21-27-29-34-49:8:10,15.05.2020,34,49,29,21,27,8,10,"44.165.324,00",Jackpot,"10.657.088,22",3,"625.675,40",3,"220.826,60",31,"7.123,40",696,"285,50",1.290,"119,80",1.635,"81,00",24.467,"27,90",32.755,"20,20",63.197,"15,00",130.000,"13,20",483.058,"8,70"
407162e75e786448bfcf29485fe1c932,2020,12-15-32-40-45:7:10,22.05.2020,15,40,32,45,12,7,10,"45.784.908,00",Jackpot,"21.574.419,04",4,"486.464,60",6,"114.462,20",51,"4.488,70",811,"254,00",1.429,"112,10",1.766,"77,70",25.688,"27,60",34.928,"19,60",63.015,"15,60",137.776,"12,90",509.277,"8,50"
54d94ebb00061b4694870255f7bea6e1,2020,8-22-31-32-36:6:10,29.05.2020,22,31,36,8,32,6,10,"49.515.290,00",1,"33.290.606,90",3,"701.466,60",4,"185.682,30",45,"5.501,60",653,"341,20",1.325,"130,70",1.855,"80,00",26.384,"29,00",33.536,"22,10",67.892,"15,60",145.440,"13,20",512.630,"9,20"
424f254ffe590a0cd612e7c6706d768e,2020,9-16-17-29-39:1:8,05.06.2020,29,39,9,16,17,1,8,"41.951.474,00",Jackpot,"10.555.675,22",4,"445.734,40",8,"78.659,00",44,"4.767,20",798,"236,50",1.586,"92,50",2.096,"60,00",28.782,"22,50",37.178,"16,90",70.160,"12,80",148.099,"11,00",500.641,"8,00"
487fc726be169a6e96ae0705cb2df7fa,2020,7-16-22-30-48:2:8,12.06.2020,7,22,30,48,16,8,2,"44.339.686,00",Jackpot,"21.069.963,78",3,"628.145,50",6,"110.849,20",68,"3.260,20",829,"240,60",1.335,"116,20",2.722,"48,80",39.930,"17,70",36.234,"17,70",63.024,"15,10",211.210,"8,10",529.252,"8,00"
a2279738dbbc10967c7da671937efd0f,2020,2-22-33-38-47:2:9,19.06.2020,38,47,33,2,22,9,2,"48.172.672,00",Jackpot,"32.426.518,76",4,"511.834,60",6,"120.431,60",72,"3.345,30",947,"228,90",1.508,"111,80",3.006,"48,00",40.619,"18,30",39.424,"18,30",68.435,"15,10",205.726,"9,10",565.413,"8,10"
4a0705a77584ef995b49b10616f3f596,2020,14-16-32-34-47:7:9,26.06.2020,47,34,14,32,16,7,9,"51.192.870,00",1,"44.565.942,80",6,"362.616,10",9,"85.321,40",59,"4.338,30",1.027,"224,30",1.745,"102,60",2.448,"62,70",35.445,"22,30",44.285,"17,30",72.644,"15,10",185.201,"10,70",614.923,"7,90"
7b3c7e81906528facdb0bf18ddd0c8ce,2020,12-34-36-47-48:5:7,03.07.2020,12,36,48,34,47,7,5,"42.878.852,00",Jackpot,"10.844.459,36",2,"911.175,60",2,"321.591,30",60,"3.573,20",799,"241,40",1.282,"117,00",2.669,"48,10",35.537,"18,70",37.411,"17,10",59.259,"15,50",191.548,"8,70",520.363,"7,80"
139770246160f87a31002edfe122abe2,2020,5-6-9-15-29:4:9,10.07.2020,5,9,6,29,15,4,9,"46.371.114,00",Jackpot,"21.813.231,72",4,"492.693,00",11,"63.233,30",65,"3.567,00",1.073,"194,40",1.972,"82,30",2.695,"51,60",38.164,"18,80",45.673,"15,20",80.100,"12,40",194.234,"9,30",599.956,"7,30"
787ccd7a9cd328b2e2c5516563e41850,2020,13-21-25-34-35:5:10,17.07.2020,13,21,25,35,34,5,10,"49.718.822,00",Jackpot,"33.602.226,26",2,"1.056.524,90",8,"93.222,70",45,"5.524,30",907,"246,60",1.720,"101,10",2.369,"62,90",34.475,"22,30",41.123,"18,10",80.026,"13,30",171.751,"11,20",579.992,"8,10"
3637518d96263cb24ca418792f5bedde,2020,7-11-19-32-43:2:8,24.07.2020,7,11,43,19,32,2,8,"53.871.124,00",Jackpot,"46.356.047,42",7,"327.074,60",12,"67.338,90",149,"1.807,70",1.414,"171,40",2.543,"74,10",4.653,"34,70",55.767,"14,90",55.118,"14,60",94.807,"12,20",265.028,"7,90",717.154,"7,10"
8399750c58a1bf497d8081299afa4282,2020,3-19-28-43-49:2:3,31.07.2020,3,19,43,28,49,3,2,"60.160.420,00",Jackpot,"60.486.680,30",4,"639.204,40",7,"128.915,10",75,"4.010,60",1.346,"201,10",1.994,"105,50",2.777,"64,90",39.597,"23,50",57.166,"15,70",83.707,"15,40",207.560,"11,30",815.920,"7,00"
221511e2d124af592d450b3d11d43147,2020,4-9-15-24-28:2:6,07.08.2020,28,24,15,9,4,2,6,"67.491.386,00",2,"38.145.589,70",7,"409.769,10",14,"72.312,10",111,"3.040,10",1.635,"185,70",2.933,"80,50",4.213,"48,00",56.309,"18,50",62.604,"16,10",112.880,"12,80",276.331,"9,50",867.952,"7,40"
68932b69937068466178f17d7ecaab5c,2020,9-20-27-35-48:5:9,14.08.2020,35,9,48,27,20,9,5,"43.918.604,00",Jackpot,"11.999.943,92",4,"466.635,10",6,"109.796,50",44,"4.990,70",815,"242,40",1.467,"104,70",2.639,"49,90",34.660,"19,60",36.424,"18,00",62.340,"15,10",173.921,"9,80",527.690,"7,90"
f77dc01bd0d03a93c59bdbed219bf323,2020,26-27-30-46-49:1:2,21.08.2020,26,27,49,30,46,2,1,"46.425.284,00",Jackpot,"23.033.222,32",Jackpot,"1.973.074,57",7,"99.482,70",40,"5.803,10",636,"328,40",1.232,"131,80",1.578,"88,20",25.749,"27,90",30.645,"22,70",56.850,"17,50",142.947,"12,60",493.058,"8,90"
5412d4364486f2a63a48b431c94ef5c8,2020,8-11-22-38-41:4:7,28.08.2020,22,41,8,38,11,4,7,"50.058.416,00",1,"34.889.569,00",7,"585.793,80",9,"83.430,60",107,"2.339,10",1.128,"199,70",1.838,"95,30",4.209,"35,60",55.178,"15,20",45.224,"15,20",75.299,"14,20",281.033,"7,40",627.944,"7,40"
b088451ecd5a030dfc997ba5828866ee,2020,5-23-28-38-49:3:9,04.09.2020,5,23,49,38,28,3,9,"43.185.044,00",Jackpot,"10.791.310,52",Jackpot,"1.835.364,37",8,"80.971,90",59,"3.659,70",829,"234,40",1.357,"111,30",2.573,"50,30",38.793,"17,20",37.462,"17,20",62.027,"14,90",203.155,"8,20",539.177,"7,60"
4e6349a905abeda257bfbc0e80d0c022,2020,2-5-24-43-45:4:10,11.09.2020,5,2,45,43,24,10,4,"46.193.570,00",1,"21.752.127,20",3,"1.266.197,00",3,"230.967,80",32,"7.217,70",778,"267,10",1.292,"125,10",2.079,"66,60",26.570,"26,90",33.274,"20,80",64.724,"15,30",145.915,"12,30",503.683,"8,70"
8d4d2887f591e3a07b2c3911f989ae6c,2020,7-12-14-40-42:7:8,18.09.2020,40,7,14,12,42,7,8,"42.151.482,00",Jackpot,"10.400.312,36",1,"1.791.437,90",7,"90.324,60",46,"4.581,60",890,"213,10",1.226,"120,30",1.981,"63,80",29.930,"21,80",40.096,"15,70",57.498,"15,70",153.761,"10,60",590.403,"6,80"
65bfb47ddf2a399a605024fdfcb2dac0,2020,1-7-9-29-46:9:10,25.09.2020,1,7,9,46,29,9,10,"44.554.000,00",Jackpot,"20.981.201,50",2,"946.772,50",3,"222.770,00",38,"5.862,30",836,"239,80",1.648,"94,60",1.897,"70,40",26.494,"26,00",37.941,"17,60",74.725,"12,80",134.703,"12,80",507.179,"8,30"
fb285051ebfebbf0737e383e3a71dd4c,2020,15-19-34-39-49:2:7,02.10.2020,39,49,15,34,19,7,2,"49.201.984,00",Jackpot,"32.573.424,12",3,"697.028,10",3,"246.009,90",58,"4.241,50",882,"251,00",1.430,"120,40",2.880,"51,20",42.684,"17,90",40.801,"17,90",68.190,"15,50",232.766,"8,20",597.409,"7,80"
ea637427ae677441493088a35c7c26a4,2020,1-11-17-23-29:1:8,09.10.2020,23,17,29,11,1,8,1,"52.517.786,00",Jackpot,"45.035.331,58",7,"318.857,90",11,"71.615,10",91,"2.885,50",1.569,"150,60",2.633,"69,80",3.081,"51,10",39.864,"20,40",51.181,"15,30",90.344,"12,40",191.914,"10,60",666.529,"7,50"
334e12e1c5eb75f9a7edbe412c411a59,2020,5-11-35-44-50:4:10,16.10.2020,11,35,50,44,5,4,10,"58.756.038,00",1,"58.807.427,70",1,"2.497.131,60",6,"146.890,00",51,"5.760,30",893,"296,00",1.670,"123,10",2.396,"73,50",35.078,"25,90",43.208,"20,30",80.901,"15,60",188.029,"12,10",643.114,"8,70"
020becfcdfddc5bbed963e6dbcabcdd6,2020,17-21-23-37-45:7:9,23.10.2020,23,17,21,37,45,9,7,"42.624.778,00",Jackpot,"11.238.193,44",7,"258.793,20",8,"79.921,40",61,"3.493,80",1.047,"183,20",1.619,"92,10",2.461,"51,90",32.831,"20,10",42.032,"15,20",64.916,"14,10",162.291,"10,20",559.279,"7,20"
ac1974f5ed837462e0fdcae1b0efda2f,2020,11-19-24-33-39:1:4,30.10.2020,39,33,19,11,24,1,4,"45.696.154,00",Jackpot,"22.074.456,42",2,"971.043,20",14,"48.960,10",61,"3.745,50",1.007,"204,20",1.841,"86,80",2.136,"64,10",30.368,"23,30",42.219,"16,20",78.077,"12,50",154.141,"11,50",578.413,"7,50"
946ef61ad13e1dbedd408403b0ae8028,2020,5-12-26-47-50:2:3,06.11.2020,12,5,50,47,26,3,2,"48.576.158,00",Jackpot,"33.604.381,34",1,"2.064.486,70",9,"80.960,20",52,"4.670,70",962,"227,20",1.514,"112,20",2.124,"68,60",30.877,"24,30",42.493,"17,10",66.639,"15,60",168.210,"11,20",619.110,"7,40"
2bc4b65bd0ea78c63ce7b0e685a41940,2020,5-17-21-37-38:1:4,13.11.2020,38,37,5,17,21,4,1,"56.738.754,00",Jackpot,"46.809.703,32",Jackpot,"2.411.397,05",11,"77.371,00",61,"4.650,70",1.135,"224,90",2.088,"95,10",2.536,"67,10",36.192,"24,20",47.119,"18,00",89.262,"13,60",189.774,"11,60",677.644,"7,90"
007354c0acd308c05d5d891de94add38,2020,18-20-34-49-50:7:8,20.11.2020,50,20,34,49,18,7,8,"59.892.288,00",1,"61.083.832,10",6,"826.136,50",7,"128.340,60",69,"4.340,00",907,"297,10",1.514,"138,40",2.567,"69,90",38.445,"24,10",45.047,"19,90",71.700,"17,90",208.252,"11,20",706.612,"8,00"
184624921ac6a0077504c5f6d36ec9f8,2020,1-2-22-25-30:5:10,27.11.2020,25,22,2,30,1,10,5,"42.032.666,00",1,"11.237.997,10",1,"1.786.388,30",6,"105.081,60",38,"5.530,60",596,"317,30",1.221,"120,40",1.924,"65,50",28.328,"22,90",31.367,"20,10",59.115,"15,20",147.939,"11,00",466.647,"8,60"
5a4df8b986fdc8790f1ba1f3e5039f69,2020,1-27-37-40-41:7:10,04.12.2020,40,41,27,1,37,7,10,"42.163.680,00",Jackpot,"10.132.504,60",1,"1.791.956,40",6,"105.409,20",26,"8.108,40",551,"344,30",935,"157,80",1.567,"80,70",23.017,"28,30",27.273,"23,10",47.616,"19,00",127.569,"12,80",435.004,"9,20"
205a237f207bd528779f28c77c1669bb,2020,4-13-15-41-49:1:9,11.12.2020,49,13,15,4,41,9,1,"44.619.028,00",Jackpot,"20.736.356,64",2,"948.154,30",6,"111.547,50",38,"5.870,90",605,"331,80",1.218,"128,20",1.836,"72,90",28.685,"24,10",31.221,"21,40",59.004,"16,20",153.412,"11,30",485.533,"8,70"
967532576a8f2645f813a94b6cabc826,2020,4-17-27-28-50:5:8,18.12.2020,4,17,28,50,27,5,8,"48.273.670,00",Jackpot,"32.151.292,00",1,"2.051.630,90",12,"60.342,00",69,"3.498,00",758,"286,50",1.413,"119,50",2.712,"53,40",41.473,"18,10",39.822,"18,10",68.516,"15,10",224.774,"8,30",589.332,"7,80"
9746948cec0a31d92ef8751041dc7730,2020,7-10-19-26-42:1:9,25.12.2020,7,26,42,10,19,9,1,"49.937.484,00",Jackpot,"44.071.230,42",6,"353.723,80",7,"107.008,80",62,"4.027,20",1.082,"207,60",2.326,"75,10",2.674,"56,00",35.605,"21,70",44.624,"16,70",92.893,"11,50",176.960,"11,00",595.596,"8,00"
610b9ac0dd1b89453595ecef99c745cb,2020,17-36-38-43-46:4:6,01.01.2021,36,43,17,38,46,6,4,"59.476.648,00",Jackpot,"57.789.434,54",6,"421.292,90",3,"297.383,20",62,"4.796,50",929,"288,10",1.688,"123,30",3.417,"52,20",48.121,"19,30",45.422,"19,30",76.881,"16,60",254.184,"9,10",669.714,"8,40"
853464f354d78a1f74df12ba88f7c4a6,2021,8-22-25-38-50:8:9,08.01.2021,22,25,50,8,38,9,8,"69.970.634,00",Jackpot,"74.024.966,82",11,"270.341,00",19,"55.239,90",67,"5.221,60",1.603,"196,40",2.511,"97,50",2.915,"72,00",43.058,"25,10",61.681,"17,00",101.893,"14,70",223.174,"12,20",858.814,"7,70"
8fd5e6fbfb9ecf0acf96f42775ed43e4,2021,10-19-32-36-46:4:6,15.01.2021,19,46,10,32,36,6,4,"88.618.590,00",1,"90.000.000,00",7,"1.146.823,90",14,"94.948,40",94,"4.713,70",1.439,"277,10",2.547,"121,70",4.817,"55,10",71.484,"19,20",68.801,"19,20",118.958,"16,00",376.379,"9,10",1.014.152,"8,30"
56bf912f18220c228b25a52140384de6,2021,38-40-41-46-48:2:6,22.01.2021,40,41,38,48,46,6,2,"46.514.384,00",1,"13.778.438,60",Jackpot,"1.976.861,32",6,"116.285,90",41,"5.672,40",622,"336,50",1.097,"148,40",1.767,"78,90",28.872,"24,90",27.992,"24,90",49.787,"20,00",173.387,"10,40",450.222,"9,80"
e25fddb33d340df7b226e84ad14b4b21,2021,16-30-33-36-43:4:8,29.01.2021,30,16,36,43,33,4,8,"46.038.634,00",1,"11.125.843,80",7,"561.929,00",5,"138.115,90",51,"4.513,50",908,"228,10",1.329,"121,20",2.662,"51,80",39.684,"18,80",34.733,"18,80",58.690,"16,80",218.928,"8,30",519.953,"8,30"
7dae819398d5fe5afaeaa1cfe83d1f1e,2021,2-3-16-33-46:2:10,05.02.2021,33,46,3,16,2,10,2,"45.514.632,00",1,"11.023.761,80",6,"322.395,30",6,"113.786,50",49,"4.644,30",790,"259,20",1.654,"96,30",2.011,"67,80",28.731,"24,50",35.500,"19,20",66.941,"14,60",148.682,"11,90",511.044,"8,50"
c9db2c253e5c736fbbd0fee23ddf096b,2021,15-18-24-27-44:2:7,12.02.2021,27,18,24,44,15,7,2,"44.181.040,00",Jackpot,"10.696.176,10",6,"312.949,00",4,"165.678,90",78,"2.832,10",1.093,"181,80",1.581,"97,80",3.143,"42,10",43.869,"15,60",43.162,"15,30",68.140,"13,90",217.025,"7,90",588.195,"7,10"
790732664b7a99aa717040052d0a8f6d,2021,27-35-36-38-41:5:7,19.02.2021,35,27,36,38,41,7,5,"48.761.956,00",Jackpot,"22.181.735,08",5,"414.476,60",6,"121.904,80",58,"4.203,60",794,"276,30",1.304,"130,80",2.578,"56,70",39.975,"19,10",37.821,"19,10",60.428,"17,30",219.188,"8,60",573.547,"8,10"
271ba9163311a1eaa93b6778aa1e4f91,2021,3-13-24-29-32:1:7,26.02.2021,32,24,3,29,13,1,7,"52.840.932,00",Jackpot,"34.651.134,66",2,"1.122.869,80",8,"99.076,70",68,"3.885,30",1.146,"207,40",2.110,"87,60",2.860,"55,40",40.450,"20,20",50.595,"15,60",88.937,"12,70",200.562,"10,20",686.155,"7,30"
5a499f54763a92eff430695b3562fcb4,2021,9-23-34-40-42:1:4,05.03.2021,23,40,9,42,34,1,4,"57.952.640,00",Jackpot,"48.317.658,30",7,"351.855,30",3,"289.763,20",62,"4.673,60",1.084,"240,50",2.027,"100,00",2.354,"73,80",34.831,"25,70",45.358,"19,10",84.655,"14,70",189.611,"11,90",650.003,"8,50"
b032cf475f1022dc541294f19b542237,2021,6-11-18-26-34:5:8,12.03.2021,26,11,34,6,18,8,5,"65.496.724,00",1,"63.605.426,90",5,"556.722,10",13,"75.573,10",125,"2.619,80",1.609,"183,10",2.746,"83,40",4.671,"42,00",60.999,"16,60",63.567,"15,40",108.440,"12,90",316.653,"8,00",838.595,"7,40"
18cce5930f7404986d7902e2491dc290,2021,3-11-19-34-37:8:9,19.03.2021,19,37,3,34,11,8,9,"45.414.620,00",Jackpot,"12.191.023,00",11,"175.465,50",8,"85.152,40",38,"5.975,60",1.190,"171,70",1.905,"83,40",1.885,"72,20",27.176,"25,90",46.642,"14,60",78.351,"12,50",140.538,"12,50",619.857,"6,90"
8b5466a8f444d1a31ce26bc8d93e6cd6,2021,7-38-41-44-50:1:8,26.03.2021,41,44,7,38,50,8,1,"48.639.490,00",Jackpot,"23.743.142,70",4,"516.794,50",3,"243.197,40",52,"4.676,80",725,"301,90",1.400,"121,50",2.050,"71,10",30.387,"24,80",34.346,"21,20",62.752,"16,60",167.631,"11,30",517.116,"8,90"
d3a95d89614ee744d63b944b5400a51c,2021,1-3-4-36-43:2:3,02.04.2021,1,43,36,3,4,2,3,"51.003.426,00",Jackpot,"35.893.721,18",1,"2.167.645,60",8,"95.631,40",44,"5.795,80",793,"289,40",1.266,"141,00",2.255,"67,80",33.337,"23,70",41.207,"18,50",63.893,"17,10",180.370,"11,00",644.257,"7,50"
d91e11095aa2c218fdc1282211edea03,2021,11-18-23-29-32:3:7,09.04.2021,32,18,23,29,11,3,7,"56.427.908,00",1,"49.162.255,50",2,"1.199.093,00",6,"141.069,70",141,"2.000,90",1.364,"186,10",2.080,"94,90",5.659,"29,90",72.783,"13,50",56.321,"13,50",87.851,"13,50",350.887,"6,80",757.893,"6,80"
40360420d21dc242810ffc8d0855df0c,2021,12-19-20-28-31:6:9,16.04.2021,31,28,12,20,19,6,9,"44.301.944,00",Jackpot,"11.415.516,42",3,"627.610,80",6,"110.754,80",63,"3.516,00",1.117,"178,40",2.008,"77,20",2.685,"49,40",34.386,"19,90",43.710,"15,20",76.862,"12,30",168.065,"10,20",559.816,"7,50"
85b4a7caf5becd82155d5ff22c917257,2021,3-6-11-14-49:1:5,23.04.2021,6,3,11,14,49,5,1,"47.946.768,00",Jackpot,"22.759.799,14",6,"339.622,90",7,"102.743,00",55,"4.358,70",882,"244,60",1.628,"103,00",2.388,"60,20",34.217,"21,70",41.960,"17,10",76.248,"13,50",173.188,"10,70",594.831,"7,60"
ba3d025fdec9e26a9668a92a170ccd53,2021,23-27-34-40-43:5:7,30.04.2021,43,27,34,40,23,5,7,"51.949.360,00",Jackpot,"35.066.603,90",8,"275.980,90",9,"86.582,20",70,"3.710,60",1.009,"231,60",1.580,"115,00",3.303,"47,10",45.186,"17,80",45.289,"17,20",71.999,"15,50",233.926,"8,60",640.919,"7,70"
a12a2d31d007a1261131722fc98d828b,2021,3-7-19-27-29:7:10,07.05.2021,27,7,19,3,29,7,10,"56.944.200,00",Jackpot,"48.476.464,40",16,"151.258,00",17,"50.244,80",101,"2.819,00",2.251,"113,80",3.538,"56,30",3.132,"54,50",39.606,"22,20",71.533,"11,90",122.062,"11,10",185.877,"11,10",817.249,"6,60"
dd4dbdb575c8da3e8e26ca6753d43658,2021,1-15-29-42-50:3:6,14.05.2021,42,50,29,15,1,6,3,"63.871.516,00",Jackpot,"63.467.963,28",9,"301.615,40",8,"119.759,00",66,"4.838,70",1.041,"276,10",1.805,"123,80",3.038,"63,00",46.403,"21,30",45.425,"21,00",80.339,"17,00",270.790,"9,10",686.176,"8,80"
206e298b4408bc71e7e1fad7aa65ece0,2021,2-12-15-33-39:4:9,21.05.2021,39,2,33,15,12,9,4,"72.104.566,00",Jackpot,"80.380.822,68",6,"510.740,60",8,"135.196,00",104,"3.466,50",1.472,"220,40",2.436,"103,50",4.405,"49,10",61.247,"18,20",63.807,"16,90",109.633,"14,10",307.878,"9,10",902.278,"7,60"
